#                     z                      raw                 natural                    under                     over
-9.3286132812500000e-01  -2.6985973898323401e+00  2.2883416983201380e-01  9.6149153627886430e-01  5.2300326405827713e+00
-9.3237304687500000e-01  -3.3751443370877650e+00  2.2748991921885692e-01  8.9782325231122140e-01  5.1960585655190394e+00
-9.3188476562500000e-01  3.7872761664796188e+00  2.2610120648595619e-01  9.3597480826481350e-01  5.1623062810560709e+00
-9.3139648437500000e-01  6.2801788932937024e+00  2.2466341093702052e-01  7.0342150074657839e-01  5.1287743769984075e+00
-9.3090820312500000e-01  -8.3779318810791914e-01  2.2317611319962230e-01  1.4519990058732077e-01  5.0954614517949652e+00
-9.3041992187500000e-01  -6.6707258180879645e+00  2.2164274857319360e-01  -2.2984447920363613e-01  5.0623661124880943e+00
-9.2993164062500000e-01  -2.0469480270975056e+00  2.2007023692328911e-01  -7.2029175562726130e-02  5.0294869746629578e+00
-9.2944335937500000e-01  5.7599859713795682e+00  2.1846859334797655e-01  2.6568304863870595e-01  4.9968226623971654e+00
-9.2895507812500000e-01  4.5527732871416431e+00  2.1685052398360349e-01  2.4817136533662790e-01  4.9643718082107178e+00
-9.2846679687500000e-01  -3.6610460295106639e+00  2.1523101140762399e-01  -5.5828267130666930e-02  4.9321330530162237e+00
-9.2797851562500000e-01  -5.9995499865005577e+00  2.1362689413244954e-01  -1.2826018590138366e-01  4.9001050460693927e+00
-9.2749023437500000e-01  1.1740628392882602e+00  2.1205644466517876e-01  1.7080473406571581e-01  4.8682864449197965e+00
-9.2700195312500000e-01  6.7710768502842047e+00  2.1053895053269978e-01  3.9013501630799535e-01  4.8366759153619645e+00
-9.2651367187500000e-01  2.1851121977935177e+00  2.0909430254238551e-01  1.9452110531180761e-01  4.8052721313866718e+00
-9.2602539062500000e-01  -5.6001777637090697e+00  2.0774259436865777e-01  -1.1380922016122474e-01  4.7740737751325835e+00
-9.2553710937500000e-01  -4.7774590997658279e+00  2.0650373732797545e-01  -5.1966810046718215e-02  4.7430795368381142e+00
-9.2504882812500000e-01  3.4419098458194521e+00  2.0539709393584107e-01  3.1509153540002144e-01  4.7122881147935827e+00
-9.2456054687500000e-01  6.8048919035872570e+00  2.0444113353346674e-01  4.7190638002935315e-01  4.6816982152936557e+00
-9.2407226562500000e-01  3.8061939462148930e-01  2.0365311293514729e-01  2.1574662008048004e-01  4.6513085525900291e+00
-9.2358398437500000e-01  -6.2719797786209686e+00  2.0304878468685203e-01  -5.4622477215365769e-02  4.6211178488443805e+00
-9.2309570312500000e-01  -3.3810917666750471e+00  2.0264213514665594e-01  6.4106962412576129e-02  4.5911248340816231e+00
-9.2260742187500000e-01  4.7628909949996121e+00  2.0244515420606624e-01  3.9053909115227819e-01  4.5613282461433853e+00
-9.2211914062500000e-01  6.2849058438246139e+00  2.0246763807213131e-01  4.3119090339977212e-01  4.5317268306417677e+00
-9.2163085937500000e-01  -9.8859547042334806e-01  2.0271702612989043e-01  9.8414939035770616e-02  4.5023193409133659e+00
-9.2114257812500000e-01  -6.5920057724142733e+00  2.0319827250722028e-01  -1.6780970050381619e-01  4.4731045379735610e+00
-9.2065429687500000e-01  -2.6114747146508770e+00  2.0391375257468014e-01  -3.0398332381712075e-02  4.4440811904710449e+00
-9.2016601562500000e-01  5.1382372035234170e+00  2.0486320423474419e-01  2.7727232792559670e-01  4.4152480746426352e+00
-9.1967773437500000e-01  5.6391729568836526e+00  2.0604370349223616e-01  2.9810332143011709e-01  4.3866039742683096e+00
-9.1918945312500000e-01  -1.7133301398682959e+00  2.0744967345309470e-01  -3.1274079374266467e-03  4.3581476806265433e+00
-9.1870117187500000e-01  -6.5037044263870580e+00  2.0907292557523324e-01  -2.0681111735404034e-01  4.3298779924498589e+00
-9.1821289062500000e-01  -2.0773398394908589e+00  2.1090273169513307e-01  -4.0373045748435817e-02  4.3017937158806383e+00
-9.1772460937500000e-01  5.2897357823134179e+00  2.1292592507930819e-01  2.4405009417936732e-01  4.2738936644271961e+00
-9.1723632812500000e-01  5.3383242443698746e+00  2.1512702850184137e-01  2.3210691464291514e-01  4.2461766589201178e+00
-9.1674804687500000e-01  -1.9624922816682455e+00  2.1748840713038170e-01  -7.3112755766292378e-02  4.2186415274687823e+00
-9.1625976562500000e-01  -6.5590977650271496e+00  2.1999044381333638e-01  -2.5788984593289743e-01  4.1912871054182270e+00
-9.1577148437500000e-01  -2.2023038767854302e+00  2.2261173420161420e-01  -6.7615535001467622e-02  4.1641122353061624e+00
-9.1528320312500000e-01  5.1470953099455299e+00  2.2532929901052232e-01  2.4871090318100159e-01  4.1371157668203100e+00
-9.1479492187500000e-01  5.5805649786882547e+00  2.2811881063026168e-01  2.7926151823268125e-01  4.1102965567559222e+00
-9.1430664062500000e-01  -1.3952589305358329e+00  2.3095483122797483e-01  9.2574717852126156e-04  4.0836534689735950e+00
-9.1381835937500000e-01  -6.3858369375240693e+00  2.3381105945035494e-01  -1.9959886257945017e-01  4.0571853743572772e+00
-9.1333007812500000e-01  -2.7784636910209972e+00  2.3666058283181035e-01  -4.8265997452031056e-02  4.0308911507725504e+00
-9.1284179687500000e-01  4.5784829898678971e+00  2.3947613303993129e-01  2.5615032791067777e-01  4.0047696830251365e+00
-9.1235351562500000e-01  5.9799381279306365e+00  2.4223034114534286e-01  3.1466071537204277e-01  3.9788198628196296e+00
-9.1186523437500000e-01  -3.5143838279854039e-01  2.4489599018624403e-01  6.2076223048130388e-02  3.9530405887184803e+00
-9.1137695312500000e-01  -6.1253128442070164e+00  2.4744626240758744e-01  -1.3719823517983076e-01  3.9274307661012142e+00
-9.1088867187500000e-01  -3.9075708842377868e+00  2.4985497868860468e-01  5.5185171304002439e-02  3.9019893071238609e+00
-9.1040039062500000e-01  3.4016239818957459e+00  2.5209682782943171e-01  5.3732081116232178e-01  3.8767151306786443e+00
-9.0991210937500000e-01  6.6201775636845346e+00  2.5414758354402256e-01  9.0724982116844455e-01  3.8516071623538854e+00
-9.0942382812500000e-01  2.1718781672611596e+00  2.5598430720207327e-01  9.4853277198933983e-01  3.8266643343941280e+00
-9.0893554687500000e-01  -3.6322835242284204e+00  2.5758553457265160e-01  8.3670174829541732e-01  3.8018855856605156e+00
-9.0844726562500000e-01  -3.0625344541249104e+00  2.5893144504574445e-01  8.3764966047475364e-01  3.7772698615913720e+00
-9.0795898437500000e-01  3.0468117037616889e+00  2.6000401204108842e-01  9.2700335576057424e-01  3.7528161141630156e+00
-9.0747070312500000e-01  6.5357215467503007e+00  2.6078713355404060e-01  8.3324821232553670e-01  3.7285233018508039e+00
-9.0698242187500000e-01  2.4939802299157932e+00  2.6126674203306910e-01  4.3487676654321422e-01  3.7043903895903880e+00
-9.0649414062500000e-01  -4.4258819058791774e+00  2.6143089302964395e-01  -2.0036197523571043e-02  3.6804163487391972e+00
-9.0600585937500000e-01  -5.8323999622124800e+00  2.6126983230608286e-01  -1.7170465433934978e-01  3.6566001570381466e+00
-9.0551757812500000e-01  -6.4887319181441319e-02  2.6077604132779569e-01  2.8598821279705644e-02  3.6329407985735473e+00
-9.0502929687500000e-01  5.7735474690936313e+00  2.5994426130026632e-01  2.5725813744038650e-01  3.6094372637392675e+00
-9.0454101562500000e-01  4.5755265637873572e+00  2.5877149613599898e-01  2.0103742023808774e-01  3.5860885491990624e+00
-9.0405273437500000e-01  -2.1506018588811999e+00  2.5725699494988447e-01  -7.4687369286459512e-02  3.5628936578491701e+00
-9.0356445312500000e-01  -6.2634139774159205e+00  2.5540221488116382e-01  -2.0710254472702769e-01  3.5398515987810808e+00
-9.0307617187500000e-01  -2.8918887097508583e+00  2.5321076522404873e-01  4.1352517190091267e-02  3.5169613872445531e+00
-9.0258789062500000e-01  3.8730379623495752e+00  2.5068833401622542e-01  5.2132016695403638e-01  3.4942220446108081e+00
-9.0209960937500000e-01  6.1624447760276402e+00  2.4784259838241060e-01  8.8409809709436837e-01  3.4716325983359679e+00
-9.0161132812500000e-01  1.8122955553078874e+00  2.4468312005888343e-01  9.6780691288347642e-01  3.4491920819246769e+00
-9.0112304687500000e-01  -3.3181880331433309e+00  2.4122122763267909e-01  9.2081219219954702e-01  3.4268995348939515e+00
-9.0063476562500000e-01  -2.7064608904416216e+00  2.3746988711591191e-01  9.4675308310386730e-01  3.4047540027372190e+00
-9.0014648437500000e-01  2.8925366078682466e+00  2.3344356254085258e-01  1.0153538174909515e+00  3.3827545368885779e+00
-8.9965820312500000e-01  6.4360942094685365e+00  2.2915806830517602e-01  9.0400057384911980e-01  3.3609001946872668e+00
-8.9916992187500000e-01  3.1576237835895831e+00  2.2463041501905590e-01  5.1277937967953857e-01  3.3391900393423035e+00
-8.9868164062500000e-01  -3.6074468148591525e+00  2.1987865060762107e-01  5.3809717748970622e-02  3.3176231398973810e+00
-8.9819335937500000e-01  -6.2268072861346511e+00  2.1492169840384995e-01  -1.3640578050106195e-01  3.2961985711959128e+00
-8.9770507812500000e-01  -1.6732586734841408e+00  2.0977919392938893e-01  4.0607663394048622e-02  3.2749154138463177e+00
-8.9721679687500000e-01  4.9067165824917103e+00  2.0447132200592180e-01  3.2749110099644407e-01  3.2537727541874801e+00
-8.9672851562500000e-01  6.0631731001014462e+00  1.9901865576748801e-01  3.8291062967828982e-01  3.2327696842544182e+00
-8.9624023437500000e-01  5.2417697851792866e-01  1.9344199905781603e-01  1.4374022712822063e-01  3.2119053017441508e+00
-8.9575195312500000e-01  -5.4205051137075762e+00  1.8776223359664021e-01  -1.2378534995062079e-01  3.1911787099817635e+00
-8.9526367187500000e-01  -5.1000057903556062e+00  1.8200017218738496e-01  -1.3334528095259982e-01  3.1705890178866500e+00
-8.9477539062500000e-01  1.0387948344896241e+00  1.7617641911779514e-01  1.0302439385027076e-01  3.1501353399389793e+00
-8.9428710937500000e-01  6.0410467194236324e+00  1.7031123877597448e-01  2.9850368440206848e-01  3.1298167961463297e+00
-8.9379882812500000e-01  4.3143819420907832e+00  1.6442443336994361e-01  2.1916109109984641e-01  3.1096325120105250e+00
-8.9331054687500000e-01  -2.1658744168812754e+00  1.5853523050023197e-01  -5.6639918891071006e-02  3.0895816184946638e+00
-8.9282226562500000e-01  -6.1707105166315097e+00  1.5266218119465796e-01  -2.3181351506225548e-01  3.0696632519903351e+00
-8.9233398437500000e-01  -3.2999597362347579e+00  1.4682306887398541e-01  -1.2369201974619955e-01  3.0498765542850226e+00
-8.9184570312500000e-01  3.2097681533312392e+00  1.4103482957803756e-01  1.3666681886242127e-01  3.0302206725296998e+00
-8.9135742187500000e-01  6.1621921316026800e+00  1.3531348364644630e-01  2.5438085376262065e-01  3.0106947592066029e+00
-8.9086914062500000e-01  2.3457231466652724e+00  1.2967407891708424e-01  9.6880888683189975e-02  2.9912979720972128e+00
-8.9038085937500000e-01  -4.0210240906405659e+00  1.2413064538070008e-01  -1.6402993280044123e-01  2.9720294742503861e+00
-8.8989257812500000e-01  -5.9899703469088434e+00  1.1869616111270012e-01  -2.4437344836776204e-01  2.9528884339507027e+00
